date,vegetable,price_per_kg,temperature_c,rainfall_mm,humidity_percent,festival,transport_strike,supply_quantity_ton,demand_index,season,day_of_week
2024-04-01,Tomato,42.78,26.68,2.81,69.85,No,No,12.75,88.55,Summer,Monday
2024-04-01,Brinjal,47.66,35.99,0.24,63.63,No,No,11.73,84.37,Summer,Monday
2024-04-01,Onion,56.96,35.34,4.57,71.64,No,No,9.4,97.7,Summer,Monday
2024-04-01,Carrot,54.65,29.21,3.79,53.78,No,No,8.79,58.99,Summer,Monday
2024-04-01,Beans,41.28,35.29,2.18,53.14,No,No,15.94,52.18,Summer,Monday
2024-04-01,Cabbage,39.84,31.27,3.86,86.82,No,No,7.39,65.05,Summer,Monday
2024-04-01,Cauliflower,45.58,29.76,3.35,57.69,No,No,14.7,79.34,Summer,Monday
2024-04-01,Potato,40.15,26.55,0.65,82.78,No,No,6.69,44.18,Summer,Monday
2024-04-01,Chilli,56.17,32.69,3.9,53.28,No,No,12.09,53.19,Summer,Monday
2024-04-01,Pumpkin,33.2,35.28,4.81,83.78,No,No,13.77,64.18,Summer,Monday
2024-04-01,Radish,42.06,32.08,0.53,66.02,No,No,9.47,78.46,Summer,Monday
2024-04-01,Spinach,34.83,35.45,2.15,65.41,No,No,18.59,94.2,Summer,Monday
2024-04-01,Coriander,38.58,30.2,2.54,88.01,No,No,9.23,95.19,Summer,Monday
2024-04-02,Tomato,35.7,33.12,2.47,55.18,No,No,17.63,70.21,Summer,Tuesday
2024-04-02,Brinjal,44.47,26.58,0.62,57.62,No,No,7.87,54.91,Summer,Tuesday
2024-04-02,Onion,51.2,33.38,2.63,80.1,No,No,7.73,63.08,Summer,Tuesday
2024-04-02,Carrot,50.09,25.35,4.92,89.21,No,No,10.02,40.54,Summer,Tuesday
2024-04-02,Beans,44.9,34.04,2.88,58.15,No,No,16.24,71.33,Summer,Tuesday
2024-04-02,Cabbage,43.47,26.4,3.92,76.01,No,No,11.32,96.95,Summer,Tuesday
2024-04-02,Cauliflower,43.09,32.91,1.59,52.86,No,No,9.88,50.02,Summer,Tuesday
2024-04-02,Potato,41.27,31.79,1.56,68.93,No,No,16.09,82.66,Summer,Tuesday
2024-04-02,Chilli,63.96,30.81,0.4,50.63,No,No,7.33,75.47,Summer,Tuesday
2024-04-02,Pumpkin,41.13,26.4,3.07,57.21,No,No,12.16,98.2,Summer,Tuesday
2024-04-02,Radish,34.48,32.44,2.77,68.22,No,No,13.4,54.29,Summer,Tuesday
2024-04-02,Spinach,29.74,30.86,3.67,66.19,No,No,17.62,65.35,Summer,Tuesday
2024-04-02,Coriander,32.28,33.96,4.69,62.29,No,No,7.26,56.79,Summer,Tuesday
2024-04-03,Tomato,42.52,31.74,0.22,62.86,No,No,12.45,86.15,Summer,Wednesday
2024-04-03,Brinjal,39.54,27.91,3.3,69.74,No,No,19.32,70.31,Summer,Wednesday
2024-04-03,Onion,47.6,28.66,0.52,84.23,No,No,10.41,54.45,Summer,Wednesday
2024-04-03,Carrot,57.25,28.15,0.14,54.95,No,No,15.57,95.73,Summer,Wednesday
2024-04-03,Beans,46.83,25.63,3.81,80.87,No,No,16.09,80.47,Summer,Wednesday
2024-04-03,Cabbage,44.27,26.99,3.51,69.49,No,No,8.18,89.98,Summer,Wednesday
2024-04-03,Cauliflower,37.04,34.61,4.72,79.36,No,No,18.86,51.21,Summer,Wednesday
2024-04-03,Potato,41.36,35.86,4.33,55.33,No,No,15.05,79.46,Summer,Wednesday
2024-04-03,Chilli,59.01,31.76,4.25,64.03,No,No,11.84,66.51,Summer,Wednesday
2024-04-03,Pumpkin,29.45,26.72,0.6,87.72,No,No,15.92,52.95,Summer,Wednesday
2024-04-03,Radish,42.48,35.84,2.97,64.21,No,No,8.35,76.64,Summer,Wednesday
2024-04-03,Spinach,41.13,33.53,1.64,51.6,No,No,5.22,78.92,Summer,Wednesday
2024-04-03,Coriander,31.88,29.46,0.68,84.69,No,No,6.89,53.51,Summer,Wednesday
2024-04-04,Tomato,32.86,28.42,4.67,67.84,No,No,15.05,46.96,Summer,Thursday
2024-04-04,Brinjal,41.42,36.54,2.18,58.09,No,No,17.0,71.59,Summer,Thursday
2024-04-04,Onion,46.33,28.92,2.17,80.75,No,No,19.88,81.22,Summer,Thursday
2024-04-04,Carrot,54.71,36.01,2.47,61.91,No,No,19.39,96.4,Summer,Thursday
2024-04-04,Beans,42.1,26.74,1.94,55.15,No,No,18.52,65.34,Summer,Thursday
2024-04-04,Cabbage,39.11,28.16,0.57,76.39,No,No,17.42,96.52,Summer,Thursday
2024-04-04,Cauliflower,44.56,34.05,0.26,89.71,No,No,17.82,85.16,Summer,Thursday
2024-04-04,Potato,44.59,26.36,1.63,55.69,No,No,9.66,76.75,Summer,Thursday
2024-04-04,Chilli,57.51,33.47,4.78,83.5,No,No,11.39,57.4,Summer,Thursday
2024-04-04,Pumpkin,40.91,37.42,4.96,74.68,No,No,7.93,82.32,Summer,Thursday
2024-04-04,Radish,38.77,37.09,1.45,60.13,No,No,10.41,65.27,Summer,Thursday
2024-04-04,Spinach,43.36,32.83,3.32,70.44,No,No,7.25,97.19,Summer,Thursday
